data augmentation (edges),batch_size,2,n_epoch,60,learning rate,0.002
epoch:,0,vrand:,0.7785684804601215,vinfo:,0.9302442531006985,loss,0.5443165990022513
epoch:,1,vrand:,0.83160313379875,vinfo:,0.9470698472844804,loss,0.4314817190170288
epoch:,2,vrand:,0.8359951636549706,vinfo:,0.9532638668751826,loss,0.3636725522004641
epoch:,3,vrand:,0.8513839648242131,vinfo:,0.9597545092490444,loss,0.3132475499923413
epoch:,4,vrand:,0.9452784639980603,vinfo:,0.9733445596216589,loss,0.2776293937976544
epoch:,5,vrand:,0.9460733181312024,vinfo:,0.9726998836196856,loss,0.255052014039113
epoch:,6,vrand:,0.9500045448001249,vinfo:,0.9748056865182528,loss,0.23470495411982903
epoch:,7,vrand:,0.9149578154273815,vinfo:,0.9670439219763063,loss,0.2224021599842952
epoch:,8,vrand:,0.9408349252035336,vinfo:,0.9710228145322907,loss,0.21921023382590368
epoch:,9,vrand:,0.9411067822663315,vinfo:,0.9723133766515101,loss,0.21557660515491778
epoch:,10,vrand:,0.935159645068166,vinfo:,0.9699194229544826,loss,0.20252452790737152
epoch:,11,vrand:,0.9345948915534075,vinfo:,0.9729338521703863,loss,0.20055850881796616
epoch:,12,vrand:,0.9474877569551596,vinfo:,0.9770341597254644,loss,0.1930140761228708
epoch:,13,vrand:,0.9431066907387669,vinfo:,0.9754695934431288,loss,0.18835164721195513
epoch:,14,vrand:,0.9478383822400289,vinfo:,0.976462988291431,loss,0.18195705918165353
epoch:,15,vrand:,0.9452599264513942,vinfo:,0.9752640499657101,loss,0.17451507655473855
epoch:,16,vrand:,0.9546344462031262,vinfo:,0.9791155971507018,loss,0.17188490468722123
epoch:,17,vrand:,0.9525190456450348,vinfo:,0.9771477197816332,loss,0.16881779982493475
epoch:,18,vrand:,0.9624628567095941,vinfo:,0.9790748354294623,loss,0.1691143008378836
epoch:,19,vrand:,0.8570442726469196,vinfo:,0.9557449569815557,loss,0.16385308825052702
epoch:,20,vrand:,0.928638184457651,vinfo:,0.9710537184350654,loss,0.16036867522276366
epoch:,21,vrand:,0.9394869537270187,vinfo:,0.9753695141979319,loss,0.15646629952467406
epoch:,22,vrand:,0.9186779628035987,vinfo:,0.9692360352090674,loss,0.15485884707707626
epoch:,23,vrand:,0.8935906752774896,vinfo:,0.9637678750086701,loss,0.1532450089087853
epoch:,24,vrand:,0.945184961674568,vinfo:,0.9751326727250872,loss,0.15197580479658568
epoch:,25,vrand:,0.9340123143014946,vinfo:,0.9775161248253094,loss,0.1469469781105335
epoch:,26,vrand:,0.942873908129427,vinfo:,0.9758139727168066,loss,0.14399318397045135
epoch:,27,vrand:,0.8462116624525375,vinfo:,0.9623841452488291,loss,0.14114961085411218
epoch:,28,vrand:,0.9134854386371132,vinfo:,0.9675545894349998,loss,0.13759239992270103
epoch:,29,vrand:,0.8531062149008491,vinfo:,0.958210198079217,loss,0.13664497893590194
epoch:,30,vrand:,0.9040619649966454,vinfo:,0.9658262733609637,loss,0.13662959807194197
epoch:,31,vrand:,0.9436868742870935,vinfo:,0.9752282288879544,loss,0.1357237106332412
epoch:,32,vrand:,0.9613339688913778,vinfo:,0.9748209250892416,loss,0.13288350116748077
epoch:,33,vrand:,0.9409054049182206,vinfo:,0.9737463899505997,loss,0.1310964381465545
epoch:,34,vrand:,0.9343404627071612,vinfo:,0.97028990367211,loss,0.13359468888777953
epoch:,35,vrand:,0.9677380662910009,vinfo:,0.9805489204634945,loss,0.1361816617158743
